Compound,Label,struct_file_path,gii,est_hubbard_u,est_charge_trans,ewald_energy_per_atom,maximum_MendeleevNumber,range_MendeleevNumber,avg_dev_CovalentRadius,avg_mm_dists,avg_mx_dists,avg_xx_dists
MoS2,1,../data/Structures/Insulators/MoS2_CollCode_38401.cif,0.175442525,11.83814874,4.926845435,-30.9926046,88,38,21.77777778,6.403113548,2.414028927,3.326078858
Nd2CuO4,1,../data/Structures/Insulators/Nd2CuO4_CollCode_75824.cif,0.119790302,14.39563406,11.07205135,-28.46253561,87,68,54.85714286,6.688254032,1.97181,2.955920148
Nd2O3,1,../data/Structures/Insulators/Nd2O3_CollCode_32514.cif,0.252860671,14.61432163,14.87158681,-30.22395863,87,68,64.8,3.696313872,2.450317262,2.981140921
NdMnO3,1,../data/Structures/Insulators/NdMnO3_CollCode_153214.cif,0.098783693,13.83121607,10.75817422,-33.14057841,87,68,49.92,3.880487327,2.02855639,2.929168753
NiO,1,../data/Structures/Insulators/NiO_CollCode_9866.cif,0.001690992,12.1440164,15.41167795,-24.09227603,87,26,29,2.954292132,2.089,2.954292132
NiO2,1,../data/Structures/Insulators/NiO2_CollCode_78698.cif,0.369504164,18.2885663,-1.862887257,-45.50853034,87,26,25.77777778,5.049968378,1.920911144,2.903707354
NiS,1,../data/Structures/Insulators/NiS_HT_FINDSYM_CollCode_42492.cif,0.042407424,11.63652355,21.95593647,-20.70626543,88,27,9.5,2.6757,2.394416291,3.332080017
PbO,1,../data/Structures/Insulators/PbO_CollCode_62842.cif,0.035759064,12.98191508,8.692741462,-18.83336911,87,6,40,3.670677738,2.311482356,2.810325191
PbTiO3,1,../data/Structures/Insulators/PbTiO3_CollCode_61168.cif,0.162532411,52.34150453,10.0927255,-36.14509479,87,44,41.76,3.902,1.926698597,2.803707724
PdO,1,../data/Structures/Insulators/PdO_CollCode26598.cif,0.271719011,9.273797311,11.83859621,-23.07103434,87,25,36.5,3.407231281,2.010561178,2.655
Pr2CuO4,1,../data/Structures/Insulators/PrCu2O4_CollCode_91071.cif,0.231437937,14.40905514,10.98011173,-28.26537378,87,70,55.51020408,6.730208352,1.98045,2.97350975
Pr2O3,1,../data/Structures/Insulators/Pr2O3_HT_CollCode_75481.cif,0.348396925,13.47223138,15.29746612,-30.04762368,87,70,65.76,3.706408153,2.480234557,2.997707483
PrMnO3,1,../data/Structures/Insulators/PrMnO3_CollCode_97081.cif,0.12150715,13.83870344,10.82576287,-33.08522098,87,70,50.4,3.888332944,2.023905036,2.931425219
PrO2,1,../data/Structures/Insulators/PrO2_CollCode_77653.cif,0.14930622,14.77226033,9.293078008,-41.43672787,87,70,60.88888889,3.812719764,2.334804489,2.696
