Compound,Label,struct_file_path,range_MendeleevNumber,mean_MendeleevNumber,avg_dev_MendeleevNumber,maximum_AtomicWeight,range_AtomicWeight,mean_AtomicWeight,avg_dev_AtomicWeight,maximum_MeltingT,range_MeltingT,mean_MeltingT,avg_dev_MeltingT,range_Column,mean_Column,avg_dev_Column,mode_Column,maximum_Row,range_Row,mean_Row,avg_dev_Row,maximum_CovalentRadius,range_CovalentRadius,mean_CovalentRadius,avg_dev_CovalentRadius,mode_CovalentRadius,minimum_Electronegativity,maximum_Electronegativity,range_Electronegativity,mean_Electronegativity,avg_dev_Electronegativity,mode_Electronegativity,avg_dev_NsValence,mode_NsValence,range_NpValence,mean_NpValence,avg_dev_NpValence,mode_NpValence,minimum_NdValence,range_NdValence,mean_NdValence,avg_dev_NdValence,range_NfValence,avg_dev_NfValence,minimum_NValence,maximum_NValence,range_NValence,mean_NValence,avg_dev_NValence,mode_NValence,avg_dev_NsUnfilled,mode_NsUnfilled,minimum_NpUnfilled,maximum_NpUnfilled,range_NpUnfilled,mean_NpUnfilled,avg_dev_NpUnfilled,mode_NpUnfilled,range_NdUnfilled,avg_dev_NdUnfilled,range_NfUnfilled,avg_dev_NfUnfilled,minimum_NUnfilled,range_NUnfilled,mean_NUnfilled,avg_dev_NUnfilled,mode_NUnfilled,minimum_GSvolume_pa,range_GSvolume_pa,mean_GSvolume_pa,avg_dev_GSvolume_pa,mode_GSvolume_pa,avg_dev_GSbandgap,mode_GSbandgap,avg_dev_GSmagmom,maximum_SpaceGroupNumber,mean_SpaceGroupNumber,avg_dev_SpaceGroupNumber,mode_SpaceGroupNumber,minimum_oxidation_state,maximum_oxidation_state,range_oxidation_state,std_dev_oxidation_state,ewald_energy_per_atom,mean_absolute_deviation_in_relative_bond_length,max_relative_bond_length,min_relative_bond_length,minimum_neighbor_distance_variation,maximum_neighbor_distance_variation,range_neighbor_distance_variation,mean_neighbor_distance_variation,avg_dev_neighbor_distance_variation,mean_absolute_deviation_in_relative_cell_size,gii,struct_ordered,struct_disordered,avg_mm_dists,max_mx_dists,min_mx_dists,avg_mx_dists,max_xx_dists,min_xx_dists,avg_xx_dists,v_m,v_x,iv_p1,est_hubbard_u,est_charge_trans,volume_per_site
Sr2RuO4,0,../data/Structures/Metals/Sr2RuO4_CollCode_41604.cif,79,60,30.85714286,101.07,85.0706,48.61537143,37.27539592,2607,2552.2,703.7428571,741.6489796,14,10.85714286,5.87755102,16,5,3,3.285714286,1.469387755,195,129,114.2857143,55.18367347,66,0.95,3.44,2.49,2.551428571,1.015510204,3.44,0.244897959,2,4,2.285714286,1.959183673,4,0,7,1,1.714285714,0,0,2,8,6,5.142857143,1.795918367,6,0.244897959,0,0,2,2,1.142857143,0.979591837,2,3,0.734693878,0,0,0,4,1.714285714,0.979591837,2,9.105,45.125,22.62714286,18.05877551,9.105,0,0,0,225,98.85714286,99.26530612,12,-2,4,6,3.16227766,-31.42653359,0.062932476,1.064311459,0.801870639,0.016606889,0.143172256,0.126565367,0.098291736,0.034003124,0.136796624,0.247260431,1,0,3.871,2.0638314,1.9355,1.978277133,3.538322193,2.73721035,2.983588078,-44.00696681,25.58628802,59,10.28012142,9.603554712,13.63570221
Sr3Ru2O7,0,../data/Structures/Metals/Sr3Ru2O7_CollCode_33803.cif,79,62.08333333,29.06944444,101.07,85.0706,48.08298333,37.43084722,2607,2552.2,728.9666667,786.5277778,14,11.16666667,5.638888889,16,5,3,3.25,1.458333333,195,129,111.5833333,53.18055556,66,0.95,3.44,2.49,2.610833333,0.967361111,3.44,0.277777778,2,4,2.333333333,1.944444444,4,0,7,1.166666667,1.944444444,0,0,2,8,6,5.333333333,1.666666667,6,0.277777778,0,0,2,2,1.166666667,0.972222222,2,3,0.833333333,0,0,0,4,1.833333333,0.916666667,2,9.105,45.125,21.12041667,16.55479167,9.105,0,0,0,225,95.58333333,97.51388889,12,-2,4,6,3.246010685,-33.5201505,0.064921518,1.067557828,0.802731656,0.015249948,0.140754279,0.125504332,0.097351235,0.035597741,0.138534127,0.20173703,1,0,3.925302933,2.014096,1.94528137,1.965479313,3.555414138,2.750857511,2.890566504,-44.70396991,24.81105053,59,10.33158249,9.477925339,12.96012039
SrCoO3,0,../data/Structures/Metals/SrCoO3_CollCode_184078.cif,79,65.4,25.92,87.62,71.6206,38.910279,27.4930548,1768,1713.2,596.48,650.016,14,11.8,5.04,16,5,3,3,1.2,195,129,103.8,45.36,66,0.95,3.44,2.49,2.63,0.972,3.44,0,2,4,2.4,1.92,4,0,7,1.4,2.24,0,0,2,9,7,5.8,1.52,6,0,0,0,2,2,1.2,0.96,2,3,0.96,0,0,0,3,1.8,0.72,2,9.105,45.125,18.358,14.3488,9.105,0,0,0.495510784,225,91,94.8,12,-2,4,6,3.380617019,-36.98798053,0.084157582,1.116671577,0.789606045,4.07287E-17,0.12240775,0.12240775,0.07344465,0.05875572,0.15,0.29245846,1,0,3.855,1.9275,1.9275,1.9275,2.725896641,2.725896641,2.725896641,-46.23376175,24.11486329,79.5,24.49468223,3.8971735,11.45785028
SrCrO3,0,../data/Structures/Metals/SrCrO3_CollCode_245834.cif,79,63.6,28.08,87.62,71.6206,37.52286,25.828152,2180,2125.2,678.88,748.896,14,11.2,5.76,16,5,3,3,1.2,195,129,106.4,48.48,66,0.95,3.44,2.49,2.586,1.0248,3.44,0.32,2,4,2.4,1.92,4,0,5,1,1.6,0,0,2,6,4,5.2,1.28,6,0.32,0,0,2,2,1.2,0.96,2,5,1.6,0,0,0,6,2.4,1.44,2,9.105,45.125,18.547,14.2732,9.105,0,0,0,229,98,103.2,12,-2,4,6,3.380617019,-37.32883003,0.084157582,1.116671577,0.789606045,1.1626E-16,0.12240775,0.12240775,0.07344465,0.05875572,0.15,0.362254941,1,0,3.8198,1.9099,1.9099,1.9099,2.701006483,2.701006483,2.701006483,-46.65981243,24.33708519,69.46,16.53026075,6.586603112,11.1468426
SrFeO3,0,../data/Structures/Metals/SrFeO3_CollCode_91062.cif,79,64.8,26.64,87.62,71.6206,38.29264,26.751888,1811,1756.2,605.08,660.336,14,11.6,5.28,16,5,3,3,1.2,195,129,105,46.8,66,0.95,3.44,2.49,2.62,0.984,3.44,0,2,4,2.4,1.92,4,0,6,1.2,1.92,0,0,2,8,6,5.6,1.44,6,0,0,0,2,2,1.2,0.96,2,4,1.28,0,0,0,4,2,0.8,2,9.105,45.125,18.455,14.31,9.105,0,0,0.675412096,229,98,103.2,12,-2,4,6,3.380617019,-37.02639962,0.084157582,1.116671577,0.789606045,8.15421E-17,0.12240775,0.12240775,0.07344465,0.05875572,0.15,0.154667902,1,0,3.851,1.9255,1.9255,1.9255,2.723068214,2.723068214,2.723068214,-46.28178435,24.13991119,75,16.35080239,0.322484318,11.42222081
SrIrO3,0,../data/Structures/Metals/SrIrO3_CollCode_196446.cif,79,65.8,25.44,192.217,176.2176,65.56704,59.481168,2739,2684.2,790.68,883.056,14,11.8,5.04,16,6,4,3.4,1.68,195,129,106.8,48.96,66,0.95,3.44,2.49,2.694,0.8952,3.44,0,2,4,2.4,1.92,4,0,7,1.4,2.24,14,4.48,2,23,21,8.6,5.76,6,0,0,0,2,2,1.2,0.96,2,3,0.96,0,0,0,3,1.8,0.72,2,9.105,45.125,19.151,14.0316,9.105,0,0,0,225,97.2,102.24,12,-2,4,6,3.380617019,-35.76647056,0.074205648,1.072302642,0.81448588,0.011916668,0.146330236,0.134413568,0.1068745,0.042583519,0.130092515,0.323994737,1,0,3.942051529,2.049892661,2.000696711,2.020928512,3.419192702,2.782285922,2.953549323,-43.77126903,23.79004641,57,13.3471685,12.72523503,12.25465893
SrLaCuO4,0,../data/Structures/Metals/LaSrCuO4_CollCode_10252.cif,79,61.85714286,29.34693878,138.90547,122.90607,50.58129571,39.52216653,1357.77,1302.97,545.71,561.04,14,11.42857143,5.224489796,16,6,4,3.285714286,1.469387755,207,141,114,54.85714286,66,0.95,3.44,2.49,2.53,1.04,3.44,0.244897959,2,4,2.285714286,1.959183673,4,0,10,1.571428571,2.408163265,0,0,2,11,9,5.714285714,1.836734694,6,0.244897959,0,0,2,2,1.142857143,0.979591837,2,9,2.204081633,0,0,0,9,2.571428571,1.836734694,2,9.105,45.125,19.8025,14.72071429,9.105,0,0,0,225,98.85714286,99.26530612,12,-2,3,5,2.977694858,-28.81705021,0.102845083,1.149356197,0.812006283,0.042203089,0.265016201,0.222813112,0.160146818,0.082213573,0.191382438,0.187027998,0,1,3.765,2.24263,1.8825,2.002543333,3.421840816,2.662257031,2.985025449,-36.44839978,23.90546472,57.38,16.71439177,8.611367652,13.43608827
SrLaNiO4,0,../data/Structures/Metals/LaSrNiO4_CollCode_69174.cif,79,61.42857143,29.2244898,138.90547,122.90607,49.88806714,38.72990531,1728,1673.2,598.6,621.4857143,14,11.28571429,5.387755102,16,6,4,3.285714286,1.469387755,207,141,112.8571429,53.55102041,66,0.95,3.44,2.49,2.531428571,1.038367347,3.44,0,2,4,2.285714286,1.959183673,4,0,8,1.285714286,1.918367347,0,0,2,10,8,5.571428571,1.755102041,6,0,0,0,2,2,1.142857143,0.979591837,2,9,2.244897959,0,0,0,9,2.714285714,1.795918367,2,9.105,45.125,19.69535714,14.78193878,9.105,0,0,0.145810947,225,98.85714286,99.26530612,12,-2,3,5,2.977694858,-29.17038872,0.076507648,1.085218076,0.800332407,0.022810947,0.132459605,0.109648659,0.087773267,0.038513718,0.167012198,0.359389455,0,1,3.8258,2.046,1.9129,1.957266667,3.429582601,2.705249123,2.934181281,-37.25404932,23.57786555,54.92,15.96917283,10.57707888,12.96397471
SrMoO3,0,../data/Structures/Metals/SrMoO3_CollCode_174208.cif,79,63.8,27.84,95.96,79.9606,46.31564,36.379488,2896,2841.2,822.08,920.736,14,11.2,5.76,16,5,3,3.2,1.44,195,129,109.4,52.08,66,0.95,3.44,2.49,2.686,0.9048,3.44,0.32,2,4,2.4,1.92,4,0,5,1,1.6,0,0,2,6,4,5.2,1.28,6,0.32,0,0,2,2,1.2,0.96,2,5,1.6,0,0,0,6,2.4,1.44,2,9.105,45.125,19.447,13.9132,9.105,0,0,0,229,98,103.2,12,-2,4,6,3.380617019,-35.86152852,0.084157582,1.116671577,0.789606045,1.1169E-16,0.12240775,0.12240775,0.07344465,0.05875572,0.15,0.27709566,1,0,3.97609,1.988045,1.988045,1.988045,2.811520202,2.811520202,2.811520202,-44.82573371,23.38045618,54.417,10.46543962,12.92225313,12.57183332
SrOsO3,0,../data/Structures/Metals/SrOsO3_SD_0375560.cif,79,65.2,26.16,190.23,174.2306,65.16964,59.004288,3306,3251.2,904.08,1019.136,14,11.6,5.28,16,6,4,3.4,1.68,195,129,107.4,49.68,66,0.95,3.44,2.49,2.694,0.8952,3.44,0,2,4,2.4,1.92,4,0,6,1.2,1.92,14,4.48,2,22,20,8.4,5.44,6,0,0,0,2,2,1.2,0.96,2,4,1.28,0,0,0,4,2,0.8,2,9.105,45.125,19.127,14.0412,9.105,0,0,0,225,91,94.8,12,-2,4,6,3.380617019,-35.47214492,0.065569453,1.043615392,0.836076366,0.008253924,0.155163807,0.146909883,0.103660607,0.045636283,0.116887003,0.622055574,1,0,3.942544472,2.060154312,2.043927879,2.053738147,3.248982107,2.859020899,2.962373966,-42.74729323,23.48468107,55,10.34762522,10.50972404,12.232597
SrRhO3,0,../data/Structures/Metals/SrRhO3_SD_1639007.cif,79,65.6,25.68,102.9055,86.9061,47.70474,38.046408,2237,2182.2,690.28,762.576,14,11.8,5.04,16,5,3,3.2,1.44,195,129,107,49.2,66,0.95,3.44,2.49,2.71,0.876,3.44,0.32,2,4,2.4,1.92,4,0,8,1.6,2.56,0,0,2,9,7,5.8,1.52,6,0.32,0,0,2,2,1.2,0.96,2,2,0.64,0,0,0,3,1.8,0.72,2,9.105,45.125,19.037,14.0772,9.105,0,0,0,225,97.2,102.24,12,-2,4,6,3.380617019,-35.99889678,0.076595864,1.080775283,0.808510341,0.016169505,0.130733992,0.114564487,0.094921649,0.042560721,0.13549367,0.262549762,1,0,3.926762866,2.040058919,1.970389677,2.000311697,3.493881206,2.737258728,2.941562741,-44.28870587,23.73558072,63,17.33294638,11.11476749,12.10899538
SrRuO3,0,../data/Structures/Metals/SrRuO3_CollCode_75561.cif,79,65,26.4,101.07,85.0706,47.33764,37.605888,2607,2552.2,764.28,851.376,14,11.6,5.28,16,5,3,3.2,1.44,195,129,107.8,50.16,66,0.95,3.44,2.49,2.694,0.8952,3.44,0.32,2,4,2.4,1.92,4,0,7,1.4,2.24,0,0,2,8,6,5.6,1.44,6,0.32,0,0,2,2,1.2,0.96,2,3,0.96,0,0,0,4,2,0.8,2,9.105,45.125,19.011,14.0876,9.105,0,0,0,225,91,94.8,12,-2,4,6,3.380617019,-36.14918227,0.079941181,1.094683762,0.800147048,0.003832314,0.125982281,0.122149966,0.087009616,0.046227726,0.141489557,0.155205961,1,0,3.924381347,1.991899022,1.978467706,1.983937671,3.579973287,2.760022955,2.94756764,-44.75848271,23.73817176,59,10.33072102,8.527722349,12.08996707
SrVO3,0,../data/Structures/Metals/SrVO3_CollCode_88982.cif,79,63,28.8,87.62,71.6206,37.31194,25.575048,2183,2128.2,679.48,749.616,14,11,6,16,5,3,3,1.2,195,129,109.2,51.84,66,0.95,3.44,2.49,2.58,1.032,3.44,0,2,4,2.4,1.92,4,0,3,0.6,0.96,0,0,2,6,4,5,1.2,6,0,0,0,2,2,1.2,0.96,2,7,2.24,0,0,0,7,2.6,1.76,2,9.105,45.125,18.911,14.1276,9.105,0,0,0,229,98,103.2,12,-2,4,6,3.380617019,-37.12376395,0.084157582,1.116671577,0.789606045,0,0.12240775,0.12240775,0.07344465,0.05875572,0.15,0.230191551,1,0,3.8409,1.92045,1.92045,1.92045,2.715926436,2.715926436,2.715926436,-46.40348656,24.20338931,65.28165,14.82361982,8.688999518,11.33258529
Tb(CoGe)2,0,../data/Structures/Metals/TbCo2Ge2_SD_1611697.cif,50,60.6,14.72,158.92535,99.992155,84.414348,29.8044008,1768,556.6,1517.56,244.928,11,9.8,3.36,9,6,2,4.4,0.64,194,74,137.2,22.72,120,1.21,2.01,0.8,1.798,0.2352,1.88,0,2,2,0.8,0.96,0,0,10,6.8,2.72,9,2.88,9,14,5,11.4,2.08,9,0,0,0,4,4,1.6,1.92,0,3,1.44,5,1.6,3,2,3.8,0.64,3,10.245,21.49166667,19.64733333,7.521866667,10.245,0.18384,0,0.743266176,225,206.4,14.88,194,-4,4,8,4.183300133,-49.36854386,0.063741296,1.159353239,0.954760502,0.033191191,0.126426415,0.093235224,0.105051128,0.028743975,0.131074853,0,1,0,2.815628492,2.344763263,2.344763263,2.344763263,2.5658784,2.5658784,2.5658784,-22.29684173,34.77358799,33.5,11.30141322,19.46573916,15.99188515
Tb(CoSi)2,0,../data/Structures/Metals/TbCo2Si2_SD_0312563.cif,49,60.2,14.24,158.92535,130.83985,66.592548,36.9331208,1768,139,1707.8,48.16,11,9.8,3.36,9,6,3,4,0.8,194,83,133.6,24.16,111,1.21,1.9,0.69,1.754,0.2176,1.88,0,2,2,0.8,0.96,0,0,7,2.8,3.36,9,2.88,4,11,7,7.4,2.72,4,0,0,0,4,4,1.6,1.92,0,3,1.44,5,1.6,3,2,3.8,0.64,3,10.245,21.49166667,18.62133333,6.701066667,10.245,0.37104,0,0.743266176,227,207.2,15.84,194,-4,4,8,4.183300133,-50.685522,0.064673602,1.161684005,0.955073617,0.030141658,0.129172841,0.099031183,0.1063761,0.030493777,0.132872063,0,1,0,2.75488802,2.278395445,2.278395445,2.278395445,2.519628,2.519628,2.519628,-23.12753262,35.72267856,33.5,11.18865433,16.98234243,14.82363171
Tb(NiGe)2,0,../data/Structures/Metals/TbNi2Ge2_SD_0536300.cif,50,61.8,13.76,158.92535,100.23195,84.31843,29.842768,1728,516.6,1501.56,232.128,11,10.2,3.04,10,6,2,4.4,0.64,194,74,136.4,23.04,120,1.21,2.01,0.8,1.81,0.24,1.91,0,2,2,0.8,0.96,0,0,10,7.2,2.88,9,2.88,10,14,4,11.8,1.76,10,0,0,0,4,4,1.6,1.92,0,2,0.96,5,1.6,2,3,3.4,1.12,2,10.32,21.41666667,19.67733333,7.485866667,10.32,0.18384,0,0.285789456,225,218.8,9.92,225,-4,4,8,4.183300133,-46.74160811,0.057454005,1.143635014,0.941130336,0.027578048,0.117165865,0.089587817,0.096236735,0.027463475,0.114299931,0,1,0,2.861661143,2.427113224,2.427113224,2.427113224,2.210958,2.210958,2.210958,-20.24407592,32.27766711,35.187,11.98624198,19.43723292,16.02280186
Tb(P3Ru)4,0,../data/Structures/Metals/TbRu4P12_CollCode_245294.cif,54,73.47058824,13.4532872,158.92535,127.951588,54.99355847,33.9103009,2607,2289.7,933.2117647,869.5224913,12,12.64705882,3.321799308,15,6,3,3.647058824,0.91349481,194,87,121.2941176,20.1799308,107,1.21,2.2,0.99,2.134705882,0.108788927,2.19,0.359861592,2,3,2.117647059,1.24567474,3,0,7,1.647058824,2.519031142,9,0.996539792,5,11,6,6.058823529,1.494809689,5,0.359861592,0,0,3,3,2.117647059,1.24567474,3,3,1.079584775,5,0.553633218,3,2,3.352941176,0.498269896,3,13.51,18.22666667,20.97761905,3.514173669,22.5702381,0.674740484,1.625,0,194,58.47058824,79.72318339,2,-3,5,8,4.101115572,-93.53004179,0.033352431,1.22025381,0.929126084,0.030048592,0.147418139,0.117369547,0.115196617,0.045489207,0.062734199,0.286860047,1,0,4.0184,2.357779207,2.357779207,2.357779207,3.215429169,2.25994816,2.874034807,-69.4554381,24.43530689,178.41,64.82657127,-13.03404467,15.26759269
Tb(SiNi)2,0,../data/Structures/Metals/TbNi2Si2_SD_0382572.cif,49,61.4,13.28,158.92535,130.83985,66.49663,36.971488,1728,99,1691.8,28.96,11,10.2,3.04,10,6,3,4,0.8,194,83,132.8,24.48,111,1.21,1.91,0.7,1.766,0.2224,1.9,0,2,2,0.8,0.96,0,0,8,3.2,3.84,9,2.88,4,11,7,7.8,3.04,4,0,0,0,4,4,1.6,1.92,0,2,0.96,5,1.6,2,3,3.4,1.12,2,10.32,21.41666667,18.65133333,6.665066667,10.32,0.37104,0,0.285789456,227,219.6,10.24,225,-4,4,8,4.183300133,-47.78965248,0.057498957,1.143747393,0.940876559,0.026888661,0.117519985,0.090631324,0.096292696,0.027761614,0.114270264,0,1,0,2.79872864,2.371631869,2.371631869,2.371631869,2.15604,2.15604,2.15604,-20.72530129,32.99178673,35.187,11.8730937,16.82190964,14.94513886
TiO,0,../data/Structures/Metals/TiO_CollCode_56612.cif,44,65,22,47.867,31.8676,31.9332,15.9338,1941,1886.2,997.9,943.1,12,10,6,4,4,2,3,1,160,94,113,47,66,1.54,3.44,1.9,2.49,0.95,1.54,0,2,4,2,2,0,0,2,1,1,0,0,4,6,2,5,1,4,0,0,0,2,2,1,1,0,8,4,0,0,2,6,5,3,2,9.105,7.585,12.8975,3.7925,9.105,0,0,1.12667E-05,194,103,91,12,-2,2,4,2.828427125,-23.94156679,1.11022E-16,1,1,0,2.46464E-16,2.46464E-16,1.10029E-16,1.10029E-16,1.43417E-16,0.169402924,1,0,2.97288904,2.10215,2.10215,2.10215,2.97288904,2.97288904,2.97288904,-23.94149857,23.94149857,27.49171,9.072554618,19.74671801,9.289473632
TiS2,0,../data/Structures/Metals/TiS2_CollCode_52195.cif,45,73,20,47.867,15.802,37.33233333,7.023111111,1941,1552.64,905.9066667,690.0622222,12,12,5.333333333,16,4,1,3.333333333,0.444444444,160,55,123.3333333,24.44444444,105,1.54,2.58,1.04,2.233333333,0.462222222,2.58,0,2,4,2.666666667,1.777777778,4,0,2,0.666666667,0.888888889,0,0,4,6,2,5.333333333,0.888888889,6,0,0,0,2,2,1.333333333,0.888888889,2,8,3.555555556,0,0,2,6,4,2.666666667,2,16.69,9.096875,22.75458333,4.043055556,25.786875,0.978666667,2.202,1.00148E-05,194,111.3333333,55.11111111,70,-2,4,6,4.242640687,-34.17672373,0.090542726,1.067907045,0.86418591,0.017338184,0.159533663,0.14219548,0.11213517,0.063197991,0.166466667,0.087541419,1,0,3.4073,2.428744025,2.428744025,2.428744025,3.460133277,3.4073,3.442522185,-30.56677409,20.69617216,99.299,51.80571255,6.792913964,19.08739799
Tm(SiNi)2,0,../data/Structures/Metals/TmNi2Si2_CollCode_76719.cif,41,63,12,168.93421,140.84871,68.498402,40.1743232,1818,131,1729.6,35.36,11,10.2,3.04,10,6,3,4,0.8,190,79,132,23.2,111,1.25,1.91,0.66,1.774,0.2096,1.9,0,2,2,0.8,0.96,0,0,8,3.2,3.84,13,4.16,4,15,11,8.6,3.68,4,0,0,0,4,4,1.6,1.92,0,2,0.96,1,0.32,1,3,2.6,1.12,2,10.32,19.46,18.26,6.352,10.32,0.37104,0,0.285789456,227,219.6,10.24,225,-4,3,7,3.872983346,0,0.07487661,1.187191525,0.942384404,0.032722779,0.167737805,0.135015026,0.135087184,0.040945762,0.156357628,0,1,0,2.772565689,2.179418328,2.179418328,2.179418328,3.363381706,2.856,3.109690853,-21.91613651,34.55718906,34.02742044,11.39844548,17.00682691,14.63627743
V7O13,0,../data/Structures/Metals/V7O13_CollCode_197.cif,41,72.65,18.655,50.9415,34.9421,28.229135,15.8986555,2183,2128.2,799.67,968.331,11,12.15,5.005,16,4,2,2.7,0.91,153,87,96.45,39.585,66,1.63,3.44,1.81,2.8065,0.82355,3.44,0,2,4,2.6,1.82,4,0,3,1.05,1.365,0,0,5,6,1,5.65,0.455,6,0,0,0,2,2,1.3,0.91,2,7,3.185,0,0,2,5,3.75,2.275,2,9.105,3.905,10.47175,1.776775,9.105,0,0,0,229,87.95,98.735,12,-2,5,7,3.990279451,0,0.074643224,1.092276159,0.861233844,0.009382218,0.2297161,0.220333883,0.15142291,0.048210921,0.139215427,0,1,0,3.296975594,2.415913184,1.658985018,1.968259115,2.183924802,1.273660256,1.728792529,-35.57687433,30.20415775,62.52577421,14.10578756,6.579391535,9.925761847
VO,0,../data/Structures/Metals/VO_HT_CollCode_77705.cif,41,66.5,20.5,50.9415,34.9421,33.47045,17.47105,2183,2128.2,1118.9,1064.1,11,10.5,5.5,5,4,2,3,1,153,87,109.5,43.5,66,1.63,3.44,1.81,2.535,0.905,1.63,0,2,4,2,2,0,0,3,1.5,1.5,0,0,5,6,1,5.5,0.5,5,0,0,0,2,2,1,1,0,7,3.5,0,0,2,5,4.5,2.5,2,9.105,3.905,11.0575,1.9525,9.105,0,0,0,229,120.5,108.5,12,-2,2,4,2.828427125,-24.71336344,2.77556E-17,1,1,0,2.18065E-16,2.18065E-16,3.18011E-17,4.77017E-17,1.84028E-16,0.473762042,1,0,2.88004592,2.0365,2.0365,2.0365,2.88004592,2.88004592,2.88004592,-24.71329302,24.71329302,29.3111,9.677301246,20.01098683,8.446042127
W18O49,0,../data/Structures/Metals/W18O49_CollCode_15254.cif,36,77.32835821,14.14658053,183.84,167.8406,61.09090448,65.95473789,3695,3640.2,1032.764179,1430.455068,10,13.31343284,3.929605703,16,6,4,3.074626866,1.571842281,162,96,91.79104478,37.72421475,66,2.36,3.44,1.08,3.149850746,0.424397416,3.44,0,2,4,2.925373134,1.571842281,4,0,4,1.074626866,1.571842281,14,5.501447984,6,20,14,9.76119403,5.501447984,6,0,0,0,2,2,1.462686567,0.785921141,2,6,2.357763422,0,0,2,4,3.074626866,1.571842281,2,9.105,6.945,10.9708209,2.729111161,9.105,0,0,0,229,70.29850746,85.27244375,12,-2,6,8,5.235056132,-61.75683342,0.107286729,1.192659064,0.781315324,0.015850647,0.194281785,0.178431138,0.108421041,0.033144441,0.260661437,0.307259267,1,0,3.245741977,2.222621394,1.631300557,1.948003143,2.979781807,2.111372346,2.697793903,-35.07784066,38.73931543,122.01,52.80352597,-6.055665433,13.16495659
WO2,0,../data/Structures/Metals/WO2_CollCode_8217.cif,36,75,16,183.84,167.8406,71.94626667,74.59582222,3695,3640.2,1268.2,1617.866667,10,12.66666667,4.444444444,16,6,4,3.333333333,1.777777778,162,96,98,42.66666667,66,2.36,3.44,1.08,3.08,0.48,3.44,0,2,4,2.666666667,1.777777778,4,0,4,1.333333333,1.777777778,14,6.222222222,6,20,14,10.66666667,6.222222222,6,0,0,0,2,2,1.333333333,0.888888889,2,6,2.666666667,0,0,2,4,3.333333333,1.777777778,2,9.105,6.945,11.42,3.086666667,9.105,0,0,0,229,84.33333333,96.44444444,12,-2,4,6,4.242640687,-45.06796579,0.093954262,1.078199111,0.859068606,0.037905277,0.16348087,0.125575593,0.118589077,0.0537892,0.17878144,0.149429256,1,0,2.785375122,2.10761554,1.957126301,2.007761872,3.550661198,2.699899713,2.921623089,-42.46557654,26.48401289,51.6,8.230265452,15.86678247,10.88259677
Yb(FeSb3)4,0,../data/Structures/Metals/YbFe4Sb12_SD_1612005.cif,46,75.23529412,13.78546713,173.054,117.209,109.2678824,25.14017993,1811,907.22,1128.315294,321.263391,12,12.64705882,3.321799308,15,6,2,4.823529412,0.387543253,187,55,140.1764706,5.508650519,139,1.26,2.05,0.79,1.951764706,0.138685121,2.05,0,2,3,2.117647059,1.24567474,3,0,10,8.470588235,2.15916955,14,1.55017301,8,16,8,13.41176471,2.546712803,15,0,0,0,3,3,2.117647059,1.24567474,3,4,1.439446367,0,0,0,4,3.058823529,0.442906574,3,10.73,23.39,26.80941176,7.566782007,31.56,0,0,0.759546475,229,184.2941176,25.82698962,166,-3,5,8,3.71510164,-84.74561441,0.043172104,1.20661255,0.908259279,0.027970562,0.136193639,0.108223076,0.106550383,0.041849302,0.082085609,0,1,0,4.578,2.64123813,2.64123813,2.64123813,3.469433728,2.6753832,3.217873819,-61.85666328,23.09857182,51.7501933,19.10491132,19.45555203,22.57555495
Ag2BiO3,1,../data/Structures/Insulators/Ag2BiO3_HT_CollCode_415959.cif,22,79.5,9.666666667,208.9804,192.981,78.78583333,62.78643333,1234.93,1180.13,529.7766667,474.9766667,5,14.16666667,2.111111111,16,6,4,3.666666667,1.666666667,148,82,106,40,66,1.93,3.44,1.51,2.7,0.74,3.44,0.444444444,2,4,2.5,1.666666667,4,0,10,5,5,14,3.888888889,6,29,23,11.5,5.833333333,6,0.444444444,0,0,3,3,1.5,1,2,0,0,0,0,1,2,1.833333333,0.555555556,2,9.105,23.845,15.4875,6.3825,9.105,0,0,0,225,83,94.66666667,12,-2,3,5,2.549509757,-26.91963201,0.057854355,1.083157004,0.8192339,0.01466176,0.190372001,0.17571024,0.146627064,0.035432014,0.117922689,0.083760803,1,0,3.202870552,3.13233814,2.146413411,2.431059467,3.273216903,2.658829641,3.062898062,-11.89810995,22.4393816,21.4844,9.412308373,13.12724214,15.09683689
Ag2O,1,../data/Structures/Insulators/Ag2O_SD_0311308.cif,22,72.33333333,9.777777778,107.8682,91.8688,77.24526667,40.83057778,1234.93,1180.13,841.5533333,524.5022222,5,12.66666667,2.222222222,11,5,3,4,1.333333333,145,79,118.6666667,35.11111111,145,1.93,3.44,1.51,2.433333333,0.671111111,1.93,0.444444444,1,4,1.333333333,1.777777778,0,0,10,6.666666667,4.444444444,0,0,6,11,5,9.333333333,2.222222222,11,0.444444444,1,0,2,2,0.666666667,0.888888889,0,0,0,0,0,1,1,1.333333333,0.444444444,1,9.105,7.225,13.92166667,3.211111111,16.33,0,0,0,225,154,94.66666667,225,-2,1,3,2.121320344,-10.3979842,0.100395924,1.075296943,0.849406115,0.151917669,0.224363262,0.072445592,0.200214731,0.032198041,0.143229167,0.224967297,1,0,3.348857716,2.050748156,2.050748156,2.050748156,4.101496312,4.101496312,4.101496312,-11.501857,19.69167004,21.4844,9.608296844,8.884820115,17.70450671
